isin,Basic Materials,Consumer Discretionary,Consumer Staples,Corporate,Covered,Energy,Financials,Government,Health Care,Industrials,Real Estate,Securitised,Technology,Telecommunication,Utilities,Liquidity,Supranational,Other
FR0010377028,7.52,10.64,8.44,,,0.88,21.32,,5.11,20.52,,,20.23,4.02,1.32,,,
FR0010405431,2.8537,6.7769,12.3246,,,6.5917,52.8443,,,6.0786,0.4712,,,3.1739,8.8852,,,
FR0010424135,3.5155,9.0313,5.2144,,,5.1659,28.9342,,5.2966,21.1862,,,15.031,,4.4318,,,2.1931
FR0010424143,3.5155,9.0313,5.2144,,,5.1659,28.9342,,5.2966,21.1862,,,15.031,,4.4318,,,2.1931
FR0010429068,6.68,5.46,6.34,,,3.72,22.61,0.05,2.72,6.09,,,41.4,2.26,1.93,,,0.74
FR0010435297,6.68,5.46,6.34,,,3.72,22.61,0.05,2.72,6.09,,,41.4,2.26,1.93,,,0.74
FR0010446146,,9.4086,0.4588,,,7.8238,52.6652,,1.1663,8.2871,,,3.8593,1.9918,13.9099,,,0.4292
FR0010446658,,9.4086,0.4588,,,7.8238,52.6652,,1.1663,8.2871,,,3.8593,1.9918,13.9099,,,0.4292
FR0010446666,,9.4086,0.4588,,,7.8238,52.6652,,1.1663,8.2871,,,3.8593,1.9918,13.9099,,,0.4292
FR0010468983,3.5155,9.0313,5.2144,,,5.1659,28.9342,,5.2966,21.1862,,,15.031,,4.4318,,,2.1931
FR0010510800,,,,,,,,,,,,,,,,,,
FR0010524777,9.48,0.17,0.17,,,,,,,44.14,,,9.38,,36.46,,,0.2
FR0010527275,,,,,,,,,,69.9022,,,1.9329,,28.1649,,,
FR0010591362,7.4471,11.6509,8.5751,,,8.8297,14.8671,,7.8787,30.8333,,,3.121,,3.4463,,,3.3508
FR0010655704,3.01,22.49,12.92,,,,3.71,,7.83,42.31,,,5.2,2.51,,,,0.03
FR0010655712,4.503,6.3452,1.0264,,,,21.8194,,6.4828,33.9015,,,14.8605,5.8191,4.4684,,,0.7737
FR0010655746,1.5637,12.5202,,,,3.1557,44.5357,,,12.4489,0.9855,,0.9967,3.69,19.1981,,,0.9054
FR0010717090,0.06,8.42,5.76,,,8.67,37.78,2.36,5.59,19.46,,,2.36,2.25,7.08,,,0.21
FR0010754200,,,,,,,,100.0,,,,,,,,,,
FR0010755611,,8.9598,4.3635,,,3.6692,11.9773,,9.2545,8.5005,,,38.0242,9.7436,1.9935,,,3.5139
FR0010756114,3.3555,8.6115,4.7939,,,4.2252,15.4555,,9.3926,10.2396,,,31.6926,8.508,,,,3.7256
FR0010790980,2.94,4.93,10.19,,,7.31,23.82,0.08,15.88,16.79,,,12.16,1.39,4.1,,,0.42
FR0010821819,5.404,3.4187,8.3703,,,,25.6869,,24.7508,21.8491,1.0175,,,5.7276,3.7751,,,
FR0010869495,4.503,6.3455,1.0261,,,,21.8194,,6.4829,33.9015,,,14.8605,5.8191,4.4684,,,0.7737
FR0010869578,,,,,,,,,,,,,,,,,,
FR0010930644,29.07,3.04,,,,,,,,38.12,,,,,29.78,,,
FR0011023621,,,,,,,,,,,,,,,,,,
FR0011036268,,,,,,,,,,,,,,,,,,
FR0011042753,,,,,,,,,,,,,,,,,,
FR0011475078,5.3289,14.1198,4.7573,,,,18.754,,4.9779,26.106,1.6472,,15.0939,6.8609,,,,2.3541
FR0011550177,1.8274,9.1396,4.5041,,,3.4803,12.2915,,9.2823,8.3113,,,37.8697,9.4992,1.9839,0.0089,,1.8018
